idx,time,equity
105,1736467200000,10000.000000
106,1736553600000,10000.000000
107,1736640000000,10000.000000
108,1736726400000,10000.000000
109,1736812800000,10000.000000
110,1736899200000,10000.000000
111,1736985600000,10000.000000
112,1737072000000,10000.000000
113,1737158400000,10000.000000
114,1737244800000,10000.000000
115,1737331200000,10000.000000
116,1737417600000,10000.000000
117,1737504000000,10000.000000
118,1737590400000,10000.000000
119,1737676800000,10000.000000
120,1737763200000,10000.000000
121,1737849600000,10000.000000
122,1737936000000,10000.000000
123,1738022400000,10000.000000
124,1738108800000,10000.000000
125,1738195200000,10000.000000
126,1738281600000,10000.000000
127,1738368000000,10000.000000
128,1738454400000,10000.000000
129,1738540800000,10000.000000
130,1738627200000,10000.000000
131,1738713600000,10000.000000
132,1738800000000,10000.000000
133,1738886400000,10000.000000
134,1738972800000,10000.000000
135,1739059200000,10000.000000
136,1739145600000,10000.000000
137,1739232000000,10000.000000
138,1739318400000,10000.000000
139,1739404800000,10000.000000
140,1739491200000,10000.000000
141,1739577600000,10000.000000
142,1739664000000,10000.000000
143,1739750400000,10000.000000
144,1739836800000,10000.000000
145,1739923200000,10000.000000
146,1740009600000,10000.000000
147,1740096000000,10000.000000
148,1740182400000,10000.000000
149,1740268800000,10000.000000
150,1740355200000,10000.000000
151,1740441600000,10000.000000
152,1740528000000,10021.068788
153,1740614400000,9952.504351
154,1740700800000,9973.325368
155,1740787200000,10048.076782
156,1740873600000,10014.305960
157,1740960000000,10260.270595
158,1741046400000,10258.380189
159,1741132800000,10258.380189
160,1741219200000,10258.380189
161,1741305600000,10258.380189
162,1741392000000,10258.380189
163,1741478400000,10258.380189
164,1741564800000,10258.380189
165,1741651200000,10258.380189
166,1741737600000,10258.380189
167,1741824000000,10258.380189
168,1741910400000,10258.380189
169,1741996800000,10258.380189
170,1742083200000,10258.380189
171,1742169600000,10258.380189
172,1742256000000,10258.380189
173,1742342400000,10258.380189
174,1742428800000,10258.380189
175,1742515200000,10258.380189
176,1742601600000,10258.380189
177,1742688000000,10258.380189
178,1742774400000,10258.380189
179,1742860800000,10258.380189
180,1742947200000,10258.380189
181,1743033600000,10258.380189
182,1743120000000,10258.380189
183,1743206400000,10258.380189
184,1743292800000,10258.380189
185,1743379200000,10258.380189
186,1743465600000,10258.380189
187,1743552000000,10258.380189
188,1743638400000,10258.380189
189,1743724800000,10258.380189
190,1743811200000,10258.380189
191,1743897600000,10258.380189
192,1743984000000,10258.380189
193,1744070400000,10258.380189
194,1744156800000,10258.380189
195,1744243200000,10258.380189
196,1744329600000,10258.380189
197,1744416000000,10258.380189
198,1744502400000,10258.380189
199,1744588800000,10258.380189
200,1744675200000,10258.380189
201,1744761600000,10258.380189
202,1744848000000,10258.380189
203,1744934400000,10258.380189
204,1745020800000,10258.380189
205,1745107200000,10258.380189
206,1745193600000,10258.380189
207,1745280000000,10258.380189
208,1745366400000,10258.380189
209,1745452800000,10258.380189
210,1745539200000,10258.380189
211,1745625600000,10258.380189
212,1745712000000,10258.380189
213,1745798400000,10258.380189
214,1745884800000,10258.380189
215,1745971200000,10258.380189
216,1746057600000,10258.380189
217,1746144000000,10258.380189
218,1746230400000,10258.380189
219,1746316800000,10258.380189
220,1746403200000,10258.380189
221,1746489600000,10258.380189
222,1746576000000,10258.380189
223,1746662400000,10258.380189
224,1746748800000,10258.380189
225,1746835200000,10258.380189
226,1746921600000,10258.380189
227,1747008000000,10258.380189
228,1747094400000,10258.380189
229,1747180800000,10258.380189
230,1747267200000,10258.380189
231,1747353600000,10258.380189
232,1747440000000,10258.380189
233,1747526400000,10258.380189
234,1747612800000,10258.380189
235,1747699200000,10258.380189
236,1747785600000,10258.380189
237,1747872000000,10258.380189
238,1747958400000,10258.380189
239,1748044800000,10258.380189
240,1748131200000,10258.380189
241,1748217600000,10258.380189
242,1748304000000,10258.380189
243,1748390400000,10258.380189
244,1748476800000,10258.380189
245,1748563200000,10258.380189
246,1748649600000,10258.380189
247,1748736000000,10258.380189
248,1748822400000,10258.380189
249,1748908800000,10258.380189
250,1748995200000,10258.380189
251,1749081600000,10258.380189
252,1749168000000,10258.380189
253,1749254400000,10258.380189
254,1749340800000,10258.380189
255,1749427200000,10258.380189
256,1749513600000,10258.380189
257,1749600000000,10258.380189
258,1749686400000,10258.380189
259,1749772800000,10258.380189
260,1749859200000,10258.380189
261,1749945600000,10258.380189
262,1750032000000,10258.380189
263,1750118400000,10258.380189
264,1750204800000,10258.380189
265,1750291200000,10258.380189
266,1750377600000,10258.380189
267,1750464000000,10258.380189
268,1750550400000,10258.380189
269,1750636800000,10258.380189
270,1750723200000,10258.380189
271,1750809600000,10258.380189
272,1750896000000,10258.380189
273,1750982400000,10258.380189
274,1751068800000,10258.380189
275,1751155200000,10258.380189
276,1751241600000,10258.380189
277,1751328000000,10258.380189
278,1751414400000,10258.380189
279,1751500800000,10258.380189
280,1751587200000,10258.380189
281,1751673600000,10258.380189
282,1751760000000,10258.380189
283,1751846400000,10258.380189
284,1751932800000,10258.380189
285,1752019200000,10258.380189
286,1752105600000,10258.380189
287,1752192000000,10258.380189
288,1752278400000,10258.380189
289,1752364800000,10258.380189
290,1752451200000,10258.380189
291,1752537600000,10258.380189
292,1752624000000,10258.380189
293,1752710400000,10258.380189
