idx,time,equity
105,1736467200000,9956.559895
106,1736553600000,9956.559895
107,1736640000000,9956.559895
108,1736726400000,9956.559895
109,1736812800000,9956.559895
110,1736899200000,9956.559895
111,1736985600000,9956.559895
112,1737072000000,9956.559895
113,1737158400000,9956.559895
114,1737244800000,9956.559895
115,1737331200000,9956.559895
116,1737417600000,9956.559895
117,1737504000000,9956.559895
118,1737590400000,9956.559895
119,1737676800000,9956.559895
120,1737763200000,9956.559895
121,1737849600000,9956.559895
122,1737936000000,9956.559895
123,1738022400000,9956.559895
124,1738108800000,9956.559895
125,1738195200000,9956.559895
126,1738281600000,9956.559895
127,1738368000000,9956.559895
128,1738454400000,9956.559895
129,1738540800000,9956.559895
130,1738627200000,9956.559895
131,1738713600000,9956.559895
132,1738800000000,9956.559895
133,1738886400000,9911.787410
134,1738972800000,9932.328253
135,1739059200000,9966.822950
136,1739145600000,9971.208659
137,1739232000000,9985.391091
138,1739318400000,9979.806892
139,1739404800000,10069.372977
140,1739491200000,10047.634329
141,1739577600000,10060.834311
142,1739664000000,10025.326643
143,1739750400000,9994.053734
144,1739836800000,9995.758576
145,1739923200000,9969.637887
146,1740009600000,9968.124786
147,1740096000000,9968.124786
148,1740182400000,9968.124786
149,1740268800000,9968.124786
150,1740355200000,9968.124786
151,1740441600000,9968.124786
152,1740528000000,9968.124786
153,1740614400000,9968.124786
154,1740700800000,9968.124786
155,1740787200000,9968.124786
156,1740873600000,9968.124786
157,1740960000000,9968.124786
158,1741046400000,9968.124786
159,1741132800000,9968.124786
160,1741219200000,9968.124786
161,1741305600000,9968.124786
162,1741392000000,9968.124786
163,1741478400000,9968.124786
164,1741564800000,9968.124786
165,1741651200000,9968.124786
166,1741737600000,9968.124786
167,1741824000000,9968.124786
168,1741910400000,9968.124786
169,1741996800000,9968.124786
170,1742083200000,9968.124786
171,1742169600000,9968.124786
172,1742256000000,9968.124786
173,1742342400000,9968.124786
174,1742428800000,9968.124786
175,1742515200000,9968.124786
176,1742601600000,9968.124786
177,1742688000000,9968.124786
178,1742774400000,9968.124786
179,1742860800000,9968.124786
180,1742947200000,9968.124786
181,1743033600000,9968.124786
182,1743120000000,9968.124786
183,1743206400000,9968.124786
184,1743292800000,9968.124786
185,1743379200000,9968.124786
186,1743465600000,9968.124786
187,1743552000000,9968.124786
188,1743638400000,9968.124786
189,1743724800000,9968.124786
190,1743811200000,9968.124786
191,1743897600000,9968.124786
192,1743984000000,9968.124786
193,1744070400000,9968.124786
194,1744156800000,9968.124786
195,1744243200000,10046.398054
196,1744329600000,9996.083032
197,1744416000000,10022.782010
198,1744502400000,10069.078617
199,1744588800000,10051.319274
200,1744675200000,10056.801925
201,1744761600000,10012.773389
202,1744848000000,10023.075154
203,1744934400000,10044.963881
204,1745020800000,10060.307539
205,1745107200000,10117.344112
206,1745193600000,10115.625064
207,1745280000000,10115.625064
208,1745366400000,10115.625064
209,1745452800000,10115.625064
210,1745539200000,10115.625064
211,1745625600000,10115.625064
212,1745712000000,10115.625064
213,1745798400000,10115.625064
214,1745884800000,10115.625064
215,1745971200000,10115.625064
216,1746057600000,10115.625064
217,1746144000000,10115.625064
218,1746230400000,10115.625064
219,1746316800000,10115.625064
220,1746403200000,10115.625064
221,1746489600000,10115.625064
222,1746576000000,10115.625064
223,1746662400000,10115.625064
224,1746748800000,10115.625064
225,1746835200000,10115.625064
226,1746921600000,10115.625064
227,1747008000000,10115.625064
228,1747094400000,10115.625064
229,1747180800000,10115.625064
230,1747267200000,10115.625064
231,1747353600000,10115.625064
232,1747440000000,10115.625064
233,1747526400000,10115.625064
234,1747612800000,10115.625064
235,1747699200000,10115.625064
236,1747785600000,10115.625064
237,1747872000000,10115.625064
238,1747958400000,10115.625064
239,1748044800000,10115.625064
240,1748131200000,10115.625064
241,1748217600000,10115.625064
242,1748304000000,10115.625064
243,1748390400000,10115.625064
244,1748476800000,10115.625064
245,1748563200000,10115.625064
246,1748649600000,10115.625064
247,1748736000000,10115.625064
248,1748822400000,10115.625064
249,1748908800000,10115.625064
250,1748995200000,10115.625064
251,1749081600000,10115.625064
252,1749168000000,10115.625064
253,1749254400000,10115.625064
254,1749340800000,10115.625064
255,1749427200000,10115.625064
256,1749513600000,10115.625064
257,1749600000000,10115.625064
258,1749686400000,10115.625064
259,1749772800000,10115.625064
260,1749859200000,10115.625064
261,1749945600000,10115.625064
262,1750032000000,10115.625064
263,1750118400000,10115.625064
264,1750204800000,10115.625064
265,1750291200000,10115.625064
266,1750377600000,10115.625064
267,1750464000000,10115.625064
268,1750550400000,10072.500499
269,1750636800000,10031.123139
270,1750723200000,10029.732548
271,1750809600000,10029.732548
272,1750896000000,10029.732548
273,1750982400000,10029.732548
274,1751068800000,10029.732548
275,1751155200000,10029.732548
276,1751241600000,10029.732548
277,1751328000000,10029.732548
278,1751414400000,10029.732548
279,1751500800000,10029.732548
280,1751587200000,10029.732548
281,1751673600000,10029.732548
282,1751760000000,10029.732548
283,1751846400000,10029.732548
284,1751932800000,10029.732548
285,1752019200000,10029.732548
286,1752105600000,10029.732548
287,1752192000000,10029.732548
288,1752278400000,10029.732548
289,1752364800000,10029.732548
290,1752451200000,10029.732548
291,1752537600000,10029.732548
292,1752624000000,10029.732548
293,1752710400000,10029.732548
294,1752796800000,10029.732548
295,1752883200000,10029.732548
296,1752969600000,10029.732548
297,1753056000000,10029.732548
298,1753142400000,10029.732548
299,1753228800000,10029.732548
300,1753315200000,10029.732548
301,1753401600000,10029.732548
302,1753488000000,10029.732548
303,1753574400000,10029.732548
304,1753660800000,10029.732548
305,1753747200000,10029.732548
306,1753833600000,10029.732548
307,1753920000000,10029.732548
308,1754006400000,10029.732548
309,1754092800000,10029.732548
310,1754179200000,10029.732548
311,1754265600000,10029.732548
312,1754352000000,10029.732548
313,1754438400000,10029.732548
314,1754524800000,10029.732548
315,1754611200000,10029.732548
316,1754697600000,10029.732548
317,1754784000000,10029.732548
318,1754870400000,10029.732548
319,1754956800000,10029.732548
320,1755043200000,10029.732548
321,1755129600000,10029.732548
322,1755216000000,10029.732548
323,1755302400000,10029.732548
324,1755388800000,10029.732548
325,1755475200000,10029.732548
326,1755561600000,10029.732548
327,1755648000000,10029.732548
328,1755734400000,10029.732548
329,1755820800000,10029.732548
330,1755907200000,10029.732548
331,1755993600000,10029.732548
332,1756080000000,10029.732548
333,1756166400000,10029.732548
334,1756252800000,10029.732548
335,1756339200000,10029.732548
336,1756425600000,10029.732548
337,1756512000000,10029.732548
338,1756598400000,10029.732548
339,1756684800000,10029.732548
340,1756771200000,10029.732548
341,1756857600000,10029.732548
342,1756944000000,10029.732548
343,1757030400000,10029.732548
344,1757116800000,10029.732548
345,1757203200000,10029.732548
346,1757289600000,10029.732548
347,1757376000000,10029.732548
348,1757462400000,10029.732548
349,1757548800000,10029.732548
350,1757635200000,10029.732548
351,1757721600000,10029.732548
352,1757808000000,10029.732548
353,1757894400000,10029.732548
354,1757980800000,10029.732548
355,1758067200000,10029.732548
356,1758153600000,10029.732548
357,1758240000000,10029.732548
358,1758326400000,10029.732548
359,1758412800000,10029.732548
360,1758499200000,10029.732548
361,1758585600000,10029.732548
362,1758672000000,10029.732548
363,1758758400000,10029.732548
364,1758844800000,10029.732548
365,1758899009000,10029.732548
